Category: All categories

Month,lactose: (United States)
2004-01,42
2004-02,41
2004-03,51
2004-04,43
2004-05,42
2004-06,41
2004-07,49
2004-08,48
2004-09,49
2004-10,56
2004-11,45
2004-12,48
2005-01,40
2005-02,54
2005-03,44
2005-04,50
2005-05,55
2005-06,49
2005-07,42
2005-08,48
2005-09,48
2005-10,52
2005-11,49
2005-12,43
2006-01,44
2006-02,47
2006-03,51
2006-04,51
2006-05,44
2006-06,43
2006-07,46
2006-08,46
2006-09,47
2006-10,52
2006-11,50
2006-12,43
2007-01,48
2007-02,52
2007-03,46
2007-04,50
2007-05,46
2007-06,44
2007-07,52
2007-08,49
2007-09,51
2007-10,57
2007-11,52
2007-12,44
2008-01,52
2008-02,52
2008-03,52
2008-04,56
2008-05,49
2008-06,47
2008-07,52
2008-08,48
2008-09,55
2008-10,55
2008-11,56
2008-12,47
2009-01,51
2009-02,58
2009-03,56
2009-04,55
2009-05,51
2009-06,53
2009-07,55
2009-08,50
2009-09,58
2009-10,60
2009-11,57
2009-12,52
2010-01,56
2010-02,60
2010-03,58
2010-04,60
2010-05,51
2010-06,52
2010-07,53
2010-08,57
2010-09,60
2010-10,59
2010-11,61
2010-12,53
2011-01,63
2011-02,65
2011-03,67
2011-04,66
2011-05,65
2011-06,60
2011-07,63
2011-08,62
2011-09,68
2011-10,71
2011-11,68
2011-12,60
2012-01,68
2012-02,74
2012-03,71
2012-04,74
2012-05,67
2012-06,66
2012-07,70
2012-08,69
2012-09,76
2012-10,73
2012-11,71
2012-12,62
2013-01,71
2013-02,73
2013-03,75
2013-04,74
2013-05,71
2013-06,69
2013-07,72
2013-08,70
2013-09,76
2013-10,74
2013-11,74
2013-12,64
2014-01,71
2014-02,77
2014-03,76
2014-04,77
2014-05,71
2014-06,69
2014-07,71
2014-08,70
2014-09,74
2014-10,75
2014-11,73
2014-12,65
2015-01,72
2015-02,76
2015-03,76
2015-04,75
2015-05,69
2015-06,71
2015-07,74
2015-08,77
2015-09,85
2015-10,78
2015-11,77
2015-12,76
2016-01,80
2016-02,82
2016-03,82
2016-04,84
2016-05,77
2016-06,78
2016-07,80
2016-08,82
2016-09,84
2016-10,82
2016-11,79
2016-12,78
2017-01,87
2017-02,90
2017-03,89
2017-04,90
2017-05,83
2017-06,85
2017-07,93
2017-08,87
2017-09,87
2017-10,90
2017-11,91
2017-12,85
2018-01,89
2018-02,95
2018-03,96
2018-04,95
2018-05,89
2018-06,90
2018-07,100
2018-08,96
2018-09,97
2018-10,98
2018-11,95
2018-12,93
