date,day,mile,mileage,nero_or_zero,site_type,how_slept,site_name,nero_reason,notes
4/13/19,1,2.8,2.8,1,Shelter,Shelter,Spring Mountain Shelter,early,
4/14/19,2,15.7,12.9,1,Shelter,Shelter,Gooch Mountain Shelter,early,
4/15/19,3,24.7,9,1,Stealth,Tent,,early,
4/16/19,4,42.7,18,0,Shelter,Tent,Whitley Gap Shelter,,
4/17/19,5,58.2,15.5,0,Shelter,Tent,Tray Mountain Shelter,,
4/18/19,6,73.7,15.5,0,Shelter,Tent,Plumorchard Shelter,,
4/19/19,7,85,11.3,1,Hotel,Hotel,Deep Gap,town,Franklin
4/20/19,8,85.9,0.9,1,Shelter,Shelter,Standing Indian Shelter,town,Franklin
4/21/19,9,102.2,16.3,0,Shelter,Shelter,Long Branch Shelter,,
4/22/19,10,113.1,10.9,1,Shelter,Shelter,Siler Bald Shelter,?,
4/23/19,11,131,17.9,0,Shelter,Tent,Wesser Bald Shelter,,
4/24/19,12,136.7,5.7,1,Stealth,Tent,Hobo Island,cool site,NOC
4/25/19,13,152.9,16.2,0,Shelter,Tent,Brown Fork Gap Shelter,,
4/26/19,14,158.3,5.4,1,Hostel,Hostel,Yellow Creek Gap,town,Paradise b&b
4/27/19,15,165.7,7.4,1,Shelter,Shelter,Fontana Dam Shelter,cool site,
4/28/19,16,180.8,15.1,0,Shelter,Shelter,Russell Field Shelter,,
4/29/19,17,195.5,14.7,0,Shelter,Shelter,Siler's Bald Shelter,,
4/30/19,18,207.7,12.2,1,Airbnb,Hotel,Newfound Gap,town,
5/1/19,19,207.7,0,1,Airbnb,Hotel,Newfound Gap,town,
5/2/19,20,210.8,3.1,1,Shelter,Shelter,Icewater Spring Shelter,town,
5/3/19,21,218.2,7.4,1,Shelter,Shelter,Peck’s corner shelter,illness,Rob's tendinitis 
5/4/19,22,231.1,12.9,1,Shelter,Shelter,Cosby Knob Shelter,?,
5/5/19,23,243.7,12.6,1,Stealth,Tent,Painter Branch,?,
5/6/19,24,261.8,18.1,0,Shelter,Tent,Walnut Shelter,,Max Patch
5/7/19,25,274.9,13.1,1,Hotel,Hotel,Hot Springs,town,
5/8/19,26,283.3,8.4,1,Stealth,,That firetower...,town,
5/9/19,27,301.8,18.5,0,Shelter,Tent,Jerry's Cabin Shelter,,Met chef and Frizz
5/10/19,28,317.3,15.5,0,Shelter,Shelter,Hogback Ridge Shelter,,Played Mao
5/11/19,29,338,20.7,0,Shelter,,No Business Knob,,
5/12/19,30,348.5,10.5,1,Shelter,Shelter,Curley Maple Gap Shelter,town,(right after uncle johnny's)
5/13/19,31,370.4,21.9,0,Shelter,Tent,Clyde Smith Shelter,,(met lungr)
5/14/19,32,386,15.6,0,Shelter,Shelter,Overmountain Shelter,,
5/15/19,33,395.2,9.2,1,Hostel,Hostel,Roan Mountain,town,
5/16/19,34,395.2,0,1,Paid Campsite,Tent,Tent City,trail days,
5/17/19,35,395.2,0,1,Paid Campsite,Tent,Tent City,trail days,
5/18/19,36,395.2,0,1,Paid Campsite,Tent,Tent City,trail days,
5/19/19,37,404,8.8,1,Shelter,Shelter,Mountaineer Shelter,trail days,
5/20/19,38,421.2,17.2,0,Stealth,Tent,Laurel Fork Falls,,
5/21/19,39,428.3,7.1,1,Hostel,Hostel,Boots Off,town,
5/22/19,40,444.4,16.1,0,Shelter, ,Iron Mountain Shelter,,
5/23/19,41,460.4,16,0,Shelter,Tent,Abingdon Gap Shelter,,
5/24/19,42,470.6,10.2,1,Hostel,Hostel,Damascus,town,
5/25/19,43,480.1,9.5,1,Shelter, ,Saunders Shelter,town,
5/26/19,44,499,18.9,0,Shelter,Tent,Thomas Knob,,(Grayson Highlands)
5/27/19,45,507.9,8.9,1,Stealth,Tent,,cool site,
5/28/19,46,534,26.1,0,Hotel,Hotel,Marion,,
5/29/19,47,534,0,1,Hotel,Hotel,Marion,town,
5/30/19,48,534,0,1,Shelter,Tent,Partnership Shelter,town,
5/31/19,49,552.5,18.5,0,Stealth,Tent,Reed Creek,,
6/1/19,50,580.4,27.9,0,Shelter,Tent,Jenkins Shelter,,
6/2/19,51,591.7,11.3,1,Hotel,Hotel,Bland,weather,hail
